,id,length,order,centralizer_order,centralizer_shape,centralizer_small_group,rational,real,power_up,power_map,power_classes,representative
38,12E,913286477315846620784572917753669746688000000000,12,884736,-,-,True,True,24B 24D 48A,-,1,-
39,12F,1670009558520405249434647621035281822515200000000,12,483840,-,-,True,True,24F 60E 84B,-,1,-
40,12G,2164827205489414212230098768008698658816000000000,12,373248,-,-,True,True,24G 36C,-,1,-
41,12H,2922516727410709186510633336811743189401600000000,12,276480,-,-,True,True,24H 60D,-,1,-
42,12I,9741722424702363955035444456039143964672000000000,12,82944,-,-,True,True,24C 24I 36D,-,1,-
43,12J,35070200728928510238127600041740918272819200000000,12,23040,-,-,True,True,24J 60F,-,1,-
44,13A,11067518967709194552466303760707193143296000000000,13,73008,-,-,True,True,26A 39A 39B 52A 78A 104A 104B,-,1,-
45,13B,15324257032212730918799497514825344352256000000000,13,52728,-,-,True,True,26B 39C 39D 52B 78B 78C,-,1,-
46,14A,715718382223030821186277551872263638220800000000,14,1128960,-,-,True,True,28A 42A 70A 84A,-,1,-
47,14B,5367887866672731158897081639041977286656000000000,14,150528,-,-,True,True,28B 28C 42C 56A 84C,-,1,-
48,14C,22902988231136986277960881659912436423065600000000,14,35280,-,-,True,True,28D 42B 42D 56B 56C 70B 84B,-,1,-
49,15A,296890588181405377677270688184050101780480000000,15,2721600,-,-,True,True,30B 30C 60A 60B 105A,-,1,-
50,15B,5541957646052900383309052846102268566568960000000,15,145800,-,-,True,True,30D 45A 60E,-,1,-
51,15C,74816428221714155174672213422380625648680960000000,15,10800,-,-,True,True,30A 30F 30G 60C 60D,-,1,-
52,15D,89779713866056986209606656106856750778417152000000,15,9000,-,-,True,True,30E 60F,-,1,-
53,16A,65756626366740956696489250078264221761536000000000,16,12288,-,-,True,True,48A,-,1,-
54,16B,98634939550111435044733875117396332642304000000000,16,8192,-,-,True,True,32A,-,1,-
55,16C,98634939550111435044733875117396332642304000000000,16,8192,-,-,True,True,32B,-,1,-
56,17A,282919266384633359904222655798918332284928000000000,17,2856,-,-,True,True,34A 51A 68A 119A 119B,-,1,-
57,18A,23091490191887084930454386858759452360704000000000,18,34992,-,-,True,True,54A,-,1,-
58,18B,34637235287830627395681580288139178541056000000000,18,23328,-,-,True,True,36C,-,1,-
59,18C,51955852931745941093522370432208767811584000000000,18,15552,-,-,True,True,36A,-,1,-
60,18D,207823411726983764374089481728835071246336000000000,18,3888,-,-,True,True,36B 36D,-,1,-
61,18E,207823411726983764374089481728835071246336000000000,18,3888,-,-,True,True,-,-,1,-
62,19A,708787214732028838496894653475184874566451200000000,19,1140,-,-,True,True,38A 57A 95A 95B,-,1,-
63,20A,10521060218678553071438280012522275481845760000000,20,76800,-,-,True,True,40B 60B,-,1,-
64,20B,28056160583142808190502080033392734618255360000000,20,28800,-,-,True,True,40A 60A,-,1,-
65,20C,33667392699771369828602496040071281541906432000000,20,24000,-,-,True,True,60C,-,1,-
66,20D,42084240874714212285753120050089101927383040000000,20,19200,-,-,True,True,60E,-,1,-
67,20E,673347853995427396572049920801425630838128640000000,20,1200,-,-,True,True,60F,-,1,-
68,20F,841684817494284245715062401001782038547660800000000,20,960,-,-,True,True,40C 40D 60D,-,1,-
69,21A,15268658820757990851973921106608290948710400000000,21,52920,-,-,True,True,42A 84A 105A,-,1,-
70,21B,130874218463639921588347895199499636703232000000000,21,6174,-,-,True,True,42D,-,1,-
71,21C,229029882311369862779608816599124364230656000000000,21,3528,-,-,True,True,42C 84C,-,1,-
72,21D,1603209176179589039457261716193870549614592000000000,21,504,-,-,True,True,42B 84B,-,1,-
73,22A,306067206361557907532749964000648014017331200000000,22,2640,-,-,True,True,66A 110A,-,1,-
74,22B,382584007951947384415937455000810017521664000000000,22,2112,-,-,True,True,44A 44B 66B 88A 88B,-,1,-
75,23A,1463799682598755209939238958263968762691584000000000,23,552,-,-,False,False,23B^5 46A 46B 46C 46D 69A 69B 92A 92B,-,2,-
76,23B,1463799682598755209939238958263968762691584000000000,23,552,-,-,False,False,23A^5 46A 46B 46C 46D 69A 69B 92A 92B,-,2,-
77,24A,116900669096428367460425333472469727576064000000000,24,6912,-,-,True,True,-,-,1,-
78,24B,175351003644642551190638000208704591364096000000000,24,4608,-,-,True,True,48A,-,1,-
79,24C,233801338192856734920850666944939455152128000000000,24,3456,-,-,True,True,-,-,1,-
80,24D,350702007289285102381276000417409182728192000000000,24,2304,-,-,True,True,-,-,1,-
81,24E,701404014578570204762552000834818365456384000000000,24,1152,-,-,True,True,-,-,1,-
82,24F,935205352771426939683402667779757820608512000000000,24,864,-,-,True,True,-,-,1,-
83,24G,935205352771426939683402667779757820608512000000000,24,864,-,-,True,True,-,-,1,-
84,24H,1402808029157140409525104001669636730912768000000000,24,576,-,-,True,True,-,-,1,-
85,24I,2104212043735710614287656002504455096369152000000000,24,384,-,-,True,True,-,-,1,-
86,24J,2805616058314280819050208003339273461825536000000000,24,288,-,-,True,True,-,-,1,-
87,25A,3232069699178051503545839619846843028023017472000000,25,250,-,-,True,True,50A,-,1,-
88,26A,1294899719221975762638557540002741597765632000000000,26,624,-,-,True,True,52A 78A 104A 104B,-,1,-
89,26B,2589799438443951525277115080005483195531264000000000,26,312,-,-,True,True,52B 78B 78C,-,1,-
90,27A,1662587293815870114992715853830680569970688000000000,27,486,-,-,True,True,54A,-,1,-
91,27B,3325174587631740229985431707661361139941376000000000,27,243,-,-,True,True,-,-,1,-
92,28A,171772411733527397084706612449343273172992000000000,28,4704,-,-,True,True,84A,-,1,-
93,28B,300601720533672944898236571786350728052736000000000,28,2688,-,-,True,True,84C,-,1,-
94,28C,901805161601018834694709715359052184158208000000000,28,896,-,-,True,True,56A,-,1,-
95,28D,4809627528538767118371785148581611648843776000000000,28,168,-,-,True,True,56B 56C 84B,-,1,-
96,29A,9287556606833481332028274769674836287422464000000000,29,87,-,-,True,True,87A 87B,-,1,-
97,30A,74816428221714155174672213422380625648680960000000,30,10800,-,-,True,True,-,-,1,-
98,30B,112224642332571232762008320133570938473021440000000,30,7200,-,-,True,True,60A,-,1,-
99,30C,280561605831428081905020800333927346182553600000000,30,2880,-,-,True,True,60B,-,1,-
100,30D,448898569330284931048033280534283753892085760000000,30,1800,-,-,True,True,60E,-,1,-
101,30E,2244492846651424655240166402671418769460428800000000,30,360,-,-,True,True,60F,-,1,-
102,30F,3366739269977136982860249604007128154190643200000000,30,240,-,-,True,True,-,-,1,-
103,30G,3366739269977136982860249604007128154190643200000000,30,240,-,-,True,True,60C 60D,-,1,-
104,31A,4344179703196305784335805940654358908633088000000000,31,186,-,-,False,False,31B^3 62A 62B 93A 93B,-,2,-
105,31B,4344179703196305784335805940654358908633088000000000,31,186,-,-,False,False,31A^3 62A 62B 93A 93B,-,2,-
106,32A,6312636131207131842862968007513365289107456000000000,32,128,-,-,True,True,-,-,1,-
107,32B,6312636131207131842862968007513365289107456000000000,32,128,-,-,True,True,-,-,1,-
108,33A,1360298694940257366812222062225102284521472000000000,33,594,-,-,True,True,66B,-,1,-
109,33B,2040448042410386050218333093337653426782208000000000,33,396,-,-,True,True,66A,-,1,-
110,34A,5941304594077300557988675771777284977983488000000000,34,136,-,-,True,True,68A,-,1,-
111,35A,384770202283101369469742811886528931907502080000000,35,2100,-,-,True,True,70A 105A,-,1,-
112,35B,11543106068493041084092284356595867957225062400000000,35,70,-,-,True,True,70B,-,1,-
113,36A,623470235180951293122268445186505213739008000000000,36,1296,-,-,True,True,-,-,1,-
114,36B,1246940470361902586244536890373010427478016000000000,36,648,-,-,True,True,-,-,1,-
115,36C,3740821411085707758733610671119031282434048000000000,36,216,-,-,True,True,-,-,1,-
116,36D,11222464233257123276200832013357093847302144000000000,36,72,-,-,True,True,-,-,1,-
117,38A,10631808220980432577453419802127773118496768000000000,38,76,-,-,True,True,-,-,1,-
118,39A,1151021972641756233456495591113548086902784000000000,39,702,-,-,True,True,78A,-,1,-
119,39B,6906131835850537400738973546681288521416704000000000,39,117,-,-,True,True,-,-,1,-
120,39C,10359197753775806101108460320021932782125056000000000,39,78,-,-,False,False,39D^7 78B 78C,-,2,-
121,39D,10359197753775806101108460320021932782125056000000000,39,78,-,-,False,False,39C^7 78B 78C,-,2,-
122,40A,2020043561986282189716149762404276892514385920000000,40,400,-,-,True,True,-,-,1,-
123,40B,2525054452482852737145187203005346115642982400000000,40,320,-,-,True,True,-,-,1,-
124,40C,10100217809931410948580748812021384462571929600000000,40,80,-,-,False,False,40D^11,-,2,-
125,40D,10100217809931410948580748812021384462571929600000000,40,80,-,-,False,False,40C^11,-,2,-
126,41A,19707742068158850631377070852724652609896448000000000,41,41,41,-,True,True,-,-,1,-
127,42A,1603209176179589039457261716193870549614592000000000,42,504,-,-,True,True,84A,-,1,-
