,Conjugacy  class,Centraliser order,Power  up,Class  rep(s)
118,39A,702,78A,
119,39B,117,,
120,39C,78,39D7 78B 78C,
121,39D,78,39C7 78B 78C,
122,40A,400,,
123,40B,320,,
124,40C,80,40D11,
125,40D,80,40C11,
126,41A,41,,
127,42A,504,84A,
128,42B,504,84B,
129,42C,168,84C,
130,42D,126,,
131,44A,352,44B7 88A 88B,
132,44B,352,44A7 88A 88B,
133,45A,135,,
134,46A,184,46B5 92A 92B,
135,46B,184,46A5 92A 92B,
136,46C,92,46D5,
137,46D,92,46C5,
138,47A,94,47B5 94A 94B,
139,47B,94,47A5 94A 94B,
140,48A,96,,
141,50A,50,,
142,51A,51,,
143,52A,104,104A 104B,
144,52B,52,,
145,54A,54,,
146,55A,110,110A,
147,56A,112,,
148,56B,56,56C11,
149,56C,56,56B11,
150,57A,57,,
151,59A,59,59B2,
152,59B,59,59A2,
153,60A,360,,
154,60B,240,,
155,60C,120,,
156,60D,120,,
157,60E,60,,
158,60F,60,,
159,62A,62,62B3,
160,62B,62,62A3,
161,66A,132,,
162,66B,66,,
163,68A,68,,
164,69A,69,69B5,
165,69B,69,69A5,
166,70A,140,,
167,70B,70,,
168,71A,71,71B7,
169,71B,71,71A7,
170,78A,78,,
171,78B,78,78C7,
172,78C,78,78B7,
173,84A,84,,
174,84B,84,,
175,84C,84,,
176,87A,87,87B5,
177,87B,87,87A5,
178,88A,88,88B7,
179,88B,88,88A7,
180,92A,92,92B5,
181,92B,92,92A5,
182,93A,93,93B11,
183,93B,93,93A11,
184,94A,94,94B5,
185,94B,94,94A5,
186,95A,95,95B7,
187,95B,95,95A7,
188,104A,104,104B11,
189,104B,104,104A11,
190,105A,105,,
191,110A,110,,
192,119A,119,119B11,
193,119B,119,119A11,
